;combo;num_outlets;num_appearances;normalized_appearances;year;month;month_half;FarRight;Right;CenterRight;Center;CenterLeft;Left;FarLeft
57;tori johnson.man haron monis.katrina dawson;2;4;0.02888086642599278;2016;3;15;0;0;2;0;2;0;0
58;none.fbi.apple;2;4;0.02888086642599278;2016;3;15;0;0;0;0;0;2;2
59;none.donald trump.hillary clinton;2;4;0.02888086642599278;2016;3;15;2;0;0;0;0;0;2
60;none.none.none;119;656;208.17066666666668;2016;4;1;34;204;156;60;120;54;28
61;none.donald trump.none;6;12;0.192;2016;4;1;2;0;2;0;2;0;6
62;barack obama.none.none;5;10;0.13333333333333333;2016;4;1;2;4;2;0;0;0;2
63;elon musk.none.none;4;10;0.10666666666666666;2016;4;1;0;6;4;0;0;0;0
64;bernie sanders.hillary clinton.none;3;8;0.064;2016;4;1;0;2;0;0;0;2;4
65;jamie whincup.mark winterbottom.none;3;6;0.048;2016;4;1;0;0;0;0;6;0;0
66;"none
villain: none
victim: none.none.none";3;6;0.048;2016;4;1;2;0;4;0;0;0;0
67;none.hillary clinton.none;3;6;0.048;2016;4;1;2;2;0;0;0;0;2
68;none.roger stone.none;3;6;0.048;2016;4;1;2;0;0;0;0;0;4
69;grant elliott.none.none;3;6;0.048;2016;4;1;0;0;2;0;4;0;0
70;none.none.none;76;250;68.10035842293907;2016;4;15;34;0;12;78;18;56;52
71;none.donald trump.none;5;10;0.17921146953405018;2016;4;15;2;0;0;0;0;2;6
72;barack obama.none.none;4;8;0.11469534050179211;2016;4;15;4;0;0;0;0;2;2
73;none.donald trump.hillary clinton;4;8;0.11469534050179211;2016;4;15;0;0;0;0;2;2;4
74;bernie sanders.hillary clinton.none;3;6;0.06451612903225806;2016;4;15;0;0;0;0;4;0;2
75;none.barack obama.uk;2;4;0.02867383512544803;2016;4;15;2;0;0;0;0;0;2
76;none.john boehner.ted cruz;2;4;0.02867383512544803;2016;4;15;0;0;0;0;2;2;0
77;paul ryan.none.none;2;4;0.02867383512544803;2016;4;15;4;0;0;0;0;0;0
78;none.donald trump.ted cruz};2;4;0.02867383512544803;2016;4;15;0;0;0;0;0;2;2
79;apple.none.none;2;4;0.02867383512544803;2016;4;15;0;0;0;0;0;4;0
80;none.none.none;145;604;206.0705882352941;2016;5;1;40;74;128;132;120;88;22
81;none.donald trump.none;8;18;0.3388235294117647;2016;5;1;2;4;0;2;0;6;4
82;none.donald trump.ted cruz;5;10;0.11764705882352941;2016;5;1;2;0;2;2;0;2;2
83;barack obama.none.none;5;10;0.11764705882352941;2016;5;1;2;0;2;2;4;0;0
84;narayan debnath.none.none;1;36;0.08470588235294117;2016;5;1;0;0;0;0;0;36;0
85;none.donald trump.hillary clinton;4;8;0.07529411764705882;2016;5;1;4;0;0;0;0;0;4
86;narayan debnath.chandra shekhar.bihar education minister;1;22;0.051764705882352935;2016;5;1;0;0;0;0;0;22;0
87;the rolling stones.donald trump.none;3;6;0.04235294117647059;2016;5;1;0;0;2;0;2;2;0
88;claudio ranieri.none.none;3;6;0.04235294117647059;2016;5;1;0;0;2;2;0;2;0
89;lin-manuel miranda.none.none;3;6;0.04235294117647059;2016;5;1;2;0;0;2;0;2;0
90;none.none.none;49;196;63.602649006622514;2016;5;15;30;86;0;2;20;2;56
91;none.donald trump.hillary clinton;7;14;0.6490066225165563;2016;5;15;2;0;0;0;0;0;12
92;none.donald trump.none;6;12;0.4768211920529801;2016;5;15;2;2;0;0;0;0;8
93;none.hillary clinton.none;5;10;0.33112582781456956;2016;5;15;4;2;0;0;0;0;4
94;donald trump.none.none;3;6;0.11920529801324503;2016;5;15;2;0;0;0;0;0;4
95;none.barack obama.none;2;6;0.07947019867549669;2016;5;15;4;2;0;0;0;0;0
96;bernie sanders.hillary clinton.donald trump;2;4;0.052980132450331126;2016;5;15;0;0;0;0;0;0;4
97;none.protesters.police;2;4;0.052980132450331126;2016;5;15;2;0;0;0;0;0;2
98;hillary clinton.none.none;2;4;0.052980132450331126;2016;5;15;0;2;0;0;0;0;2
99;none.china.united states;2;4;0.052980132450331126;2016;5;15;2;2;0;0;0;0;0
100;none.none.none;153;764;276.3404255319149;2016;6;1;32;202;146;136;112;82;54
101;none.donald trump.none;6;14;0.19858156028368795;2016;6;1;2;0;0;2;4;0;6
102;muhammad ali.none.none;5;14;0.16548463356973994;2016;6;1;0;0;0;0;0;10;4
103;barack obama.none.none;5;10;0.1182033096926714;2016;6;1;2;0;0;4;0;2;2
104;narendra modi.none.none;5;10;0.1182033096926714;2016;6;1;0;2;2;2;2;2;0
105;barack obama.donald trump.none;4;8;0.07565011820330969;2016;6;1;0;0;0;0;4;2;2
106;donald trump.none.none;4;8;0.07565011820330969;2016;6;1;2;2;2;0;0;2;0
107;none.donald trump.hillary clinton;4;8;0.07565011820330969;2016;6;1;0;0;2;0;2;2;2
108;narayan debnath.none.none;1;24;0.05673758865248227;2016;6;1;0;0;0;0;0;24;0
109;axl rose.brian johnson.none;3;6;0.0425531914893617;2016;6;1;0;0;0;4;2;0;0
110;none.none.none;27;126;38.65909090909091;2016;6;15;58;0;14;2;4;12;36
111;none.donald trump.none;4;12;0.5454545454545454;2016;6;15;4;0;0;0;0;0;8
112;elizabeth warren.donald trump.none;3;6;0.20454545454545453;2016;6;15;0;0;0;0;0;0;6
113;barack obama.none.none;2;6;0.13636363636363635;2016;6;15;0;0;0;0;0;2;4
114;hillary clinton.donald trump.none;2;4;0.09090909090909091;2016;6;15;2;0;0;0;0;0;2
115;none.hillary clinton.none;2;4;0.09090909090909091;2016;6;15;2;0;0;0;0;0;2
116;none.john mccain.barack obama;2;4;0.09090909090909091;2016;6;15;0;0;0;0;0;2;2
117;donald trump.none.none;2;4;0.09090909090909091;2016;6;15;4;0;0;0;0;0;0
118;none.donald trump.uk;2;4;0.09090909090909091;2016;6;15;0;0;0;0;0;0;4
119;marco rubio.none.none;2;4;0.09090909090909091;2016;6;15;0;0;0;0;0;2;2
120;none.none.none;111;672;254.58020477815697;2016;7;1;26;204;166;128;120;0;28
121;none.james comey.hillary clinton;5;14;0.23890784982935154;2016;7;1;14;0;0;0;0;0;0
122;none.donald trump.hillary clinton;5;10;0.17064846416382254;2016;7;1;6;0;0;0;0;0;4
123;none.donald trump.none;4;12;0.16382252559726962;2016;7;1;6;2;0;0;2;0;2
124;narendra modi.none.none;4;8;0.10921501706484642;2016;7;1;0;0;2;6;0;0;0
125;theresa may.none.none;4;8;0.10921501706484642;2016;7;1;0;0;4;2;2;0;0
126;neymar.none.none;3;8;0.08191126279863481;2016;7;1;0;0;6;2;0;0;0
127;demar derozan.none.none;3;6;0.06143344709897611;2016;7;1;0;0;2;4;0;0;0
128;nolito.none.none;3;6;0.06143344709897611;2016;7;1;0;0;2;2;2;0;0
129;none.bill clinton.hillary clinton;3;6;0.06143344709897611;2016;7;1;0;6;0;0;0;0;0
130;none.none.none;41;144;47.232;2016;7;15;70;0;0;2;20;0;52
131;none.donald trump.none;8;16;1.024;2016;7;15;8;0;0;0;0;0;8
132;none.donald trump.hillary clinton;6;12;0.5760000000000001;2016;7;15;2;0;0;0;2;0;8
133;hillary clinton.none.none;6;12;0.5760000000000001;2016;7;15;4;0;0;0;0;0;8
134;none.hillary clinton.none;6;12;0.5760000000000001;2016;7;15;12;0;0;0;0;0;0
135;donald trump.hillary clinton.none;4;8;0.256;2016;7;15;6;0;0;0;0;0;2
136;donald trump.none.none;3;8;0.192;2016;7;15;8;0;0;0;0;0;0
137;chris christie.hillary clinton.none;3;6;0.14400000000000002;2016;7;15;4;0;0;0;0;0;2
138;none.melania trump.michelle obama;2;4;0.064;2016;7;15;0;0;0;0;0;0;4
139;bernie sanders.none.none;2;4;0.064;2016;7;15;0;0;0;0;0;0;4
140;none.none.none;115;636;212.61627906976744;2016;8;1;48;222;44;142;132;14;34
141;none.donald trump.hillary clinton;13;34;1.2848837209302324;2016;8;1;8;0;0;6;0;0;20
142;none.donald trump.none;10;26;0.7558139534883721;2016;8;1;6;0;0;2;2;0;16
143;hillary clinton.donald trump.none;4;8;0.09302325581395349;2016;8;1;2;2;0;0;0;0;4
144;pope francis.none.none;3;8;0.06976744186046512;2016;8;1;4;0;0;2;2;0;0
145;"none
villain: none
victim: none.none.none";3;6;0.05232558139534883;2016;8;1;0;4;0;2;0;0;0
146;none.new york post.melania trump;3;6;0.05232558139534883;2016;8;1;0;0;0;0;6;0;0
147;google.none.none;3;6;0.05232558139534883;2016;8;1;0;4;0;2;0;0;0
148;jordan rapana.none.none;2;4;0.023255813953488372;2016;8;1;0;0;0;0;4;0;0
149;none.the economist.nigeria;2;4;0.023255813953488372;2016;8;1;0;4;0;0;0;0;0
150;none.none.none;93;314;103.92170818505338;2016;8;15;60;0;94;38;4;74;44
151;none.donald trump.none;13;32;1.480427046263345;2016;8;15;2;0;6;0;0;6;18
152;hillary clinton.donald trump.none;6;12;0.25622775800711745;2016;8;15;0;0;2;2;0;0;8
153;none.donald trump.hillary clinton;4;8;0.11387900355871886;2016;8;15;6;0;0;0;0;0;2
154;narayan debnath.chandra shekhar.bihar education minister;1;22;0.07829181494661921;2016;8;15;0;0;0;0;0;22;0
155;none.hillary clinton.donald trump;3;6;0.06405693950177936;2016;8;15;4;0;0;0;0;0;2
156;narayan debnath.none.none;1;14;0.0498220640569395;2016;8;15;0;0;0;0;0;14;0
157;none.hillary clinton.none;2;6;0.042704626334519574;2016;8;15;6;0;0;0;0;0;0
158;sakshi malik.none.none;2;6;0.042704626334519574;2016;8;15;0;0;0;0;0;6;0
159;frank ocean.none.none;2;4;0.028469750889679714;2016;8;15;0;0;0;0;0;4;0
160;none.none.none;115;568;204.125;2016;9;1;60;192;148;22;114;0;32
161;none.donald trump.hillary clinton;6;12;0.22499999999999998;2016;9;1;8;0;0;0;0;0;4
162;barack obama.none.none;4;10;0.125;2016;9;1;2;0;4;0;2;0;2
163;none.hillary clinton.none;4;8;0.1;2016;9;1;6;2;0;0;0;0;0
164;none.donald trump.none;3;10;0.09375;2016;9;1;0;0;0;0;0;0;10
165;mother teresa.none.none;3;6;0.056249999999999994;2016;9;1;0;0;6;0;0;0;0
166;narendra modi.none.none;3;6;0.056249999999999994;2016;9;1;0;0;6;0;0;0;0
167;vladimir putin.none.none;3;6;0.056249999999999994;2016;9;1;0;0;6;0;0;0;0
168;eamonn holmes.none.none;3;6;0.056249999999999994;2016;9;1;0;2;0;0;4;0;0
169;tim cook.european commission.apple;3;6;0.056249999999999994;2016;9;1;0;2;0;0;4;0;0
170;none.none.none;61;200;56.74418604651162;2016;9;15;54;2;8;104;10;0;22
171;none.donald trump.none;10;22;1.0232558139534884;2016;9;15;4;0;0;2;0;0;16
172;none.donald trump.hillary clinton;5;14;0.32558139534883723;2016;9;15;6;0;0;0;0;0;8
173;hillary clinton.donald trump.none;4;10;0.18604651162790697;2016;9;15;4;0;0;2;0;0;4
174;none.hillary clinton.donald trump;3;6;0.08372093023255814;2016;9;15;6;0;0;0;0;0;0
175;none.gary johnson.none;2;4;0.037209302325581395;2016;9;15;2;0;0;0;0;0;2
176;donald trump.hillary clinton.none;2;4;0.037209302325581395;2016;9;15;2;0;0;2;0;0;0
177;jessica alba.none.none;2;4;0.037209302325581395;2016;9;15;2;0;0;2;0;0;0
178;"none
villain: none
victim: none.none.none";2;4;0.037209302325581395;2016;9;15;0;0;0;2;2;0;0
179;none.donald trump.gennifer flowers;2;4;0.037209302325581395;2016;9;15;2;0;0;2;0;0;0
180;none.none.none;146;680;196.20553359683794;2016;10;1;28;196;86;134;102;108;26
181;none.donald trump.none;13;34;0.8735177865612649;2016;10;1;8;2;2;0;2;4;16
182;none.donald trump.hillary clinton;9;20;0.35573122529644274;2016;10;1;8;2;0;0;0;0;10
183;hillary clinton.donald trump.none;7;14;0.19367588932806323;2016;10;1;4;0;0;4;0;2;4
184;barack obama.none.none;6;14;0.1660079051383399;2016;10;1;0;0;4;2;0;2;6
185;none.donald trump.women;5;10;0.09881422924901186;2016;10;1;0;0;2;0;0;2;6
186;none.donald trump.republican party;4;8;0.06324110671936758;2016;10;1;2;0;0;0;0;2;4
187;narendra modi.none.none;3;8;0.04743083003952569;2016;10;1;0;0;6;2;0;0;0
188;narayan debnath.none.none;1;20;0.03952569169960474;2016;10;1;0;0;0;0;0;20;0
189;michelle obama.donald trump.none;3;6;0.035573122529644265;2016;10;1;0;0;0;0;0;0;6
190;none.none.none;25;92;23.46938775510204;2016;10;15;58;2;0;0;6;0;26
191;none.hillary clinton.none;5;14;0.7142857142857143;2016;10;15;12;0;0;0;0;0;2
192;none.donald trump.none;5;12;0.6122448979591837;2016;10;15;0;0;0;0;0;0;12
193;none.james comey.hillary clinton;4;10;0.4081632653061224;2016;10;15;8;0;0;0;0;0;2
194;none.donald trump.republican party;3;6;0.18367346938775508;2016;10;15;0;0;0;0;0;0;6
195;none.barack obama.hillary clinton;3;6;0.18367346938775508;2016;10;15;6;0;0;0;0;0;0
196;none.none.hillary clinton;2;4;0.08163265306122448;2016;10;15;4;0;0;0;0;0;0
197;none.donald trump.hillary clinton;2;4;0.08163265306122448;2016;10;15;2;0;0;0;0;0;2
198;hillary clinton.donald trump.none;2;4;0.08163265306122448;2016;10;15;4;0;0;0;0;0;0
199;none.donald trump.michelle obama;2;4;0.08163265306122448;2016;10;15;0;0;0;0;0;0;4
200;none.none.none;158;800;292.5925925925926;2016;11;1;38;208;128;124;176;94;32
201;none.donald trump.none;10;20;0.4629629629629629;2016;11;1;0;4;2;0;4;0;10
202;none.donald trump.hillary clinton;7;16;0.25925925925925924;2016;11;1;2;0;0;4;2;2;6
203;miroslav klose.none.none;5;12;0.1388888888888889;2016;11;1;2;6;0;4;0;0;0
204;kerrin mcevoy.none.none;3;14;0.09722222222222221;2016;11;1;0;0;0;0;14;0;0
205;hillary clinton.donald trump.none;4;8;0.07407407407407407;2016;11;1;0;2;4;2;0;0;0
206;tami varma.none.none;3;6;0.041666666666666664;2016;11;1;0;4;0;0;2;0;0
207;narayan debnath.none.none;1;18;0.041666666666666664;2016;11;1;0;0;0;0;0;18;0
208;michael klim.none.none;3;6;0.041666666666666664;2016;11;1;0;0;0;0;6;0;0
209;chicago cubs.none.none;3;6;0.041666666666666664;2016;11;1;0;0;2;0;0;4;0
210;none.none.none;35;102;25.319148936170212;2016;11;15;38;2;0;14;2;20;26
211;none.donald trump.none;3;6;0.1276595744680851;2016;11;15;2;0;0;0;0;0;4
212;bernie sanders.media and establishment.tens of millions of people;2;6;0.0851063829787234;2016;11;15;6;0;0;0;0;0;0
213;jill stein.donald trump.hillary clinton;2;6;0.0851063829787234;2016;11;15;0;0;0;0;0;0;6
214;none.michael hirsh.richard spencer;2;4;0.05673758865248227;2016;11;15;2;0;0;0;0;0;2
215;none.steve bannon.none;2;4;0.05673758865248227;2016;11;15;2;0;0;0;0;0;2
216;donald trump.none.none;2;4;0.05673758865248227;2016;11;15;4;0;0;0;0;0;0
217;donald trump.oligarchs.americans;2;4;0.05673758865248227;2016;11;15;2;0;0;0;0;0;2
218;roman semiokhin.none.none;1;6;0.0425531914893617;2016;11;15;0;0;0;0;0;0;6
219;none.the european union.none;1;6;0.0425531914893617;2016;11;15;6;0;0;0;0;0;0
220;none.none.none;149;706;221.46105263157895;2016;12;1;52;152;78;168;154;76;26
221;none.donald trump.none;8;18;0.30315789473684207;2016;12;1;0;0;0;4;0;0;14
222;donald trump.none.none;5;10;0.10526315789473684;2016;12;1;2;2;0;2;4;0;0
223;vladimir putin.none.none;3;14;0.08842105263157894;2016;12;1;0;10;0;0;4;0;0
224;tiger woods.none.none;4;8;0.06736842105263158;2016;12;1;0;0;0;4;2;2;0
225;narendra modi.none.none;3;8;0.05052631578947368;2016;12;1;0;0;2;4;0;2;0
226;none.donald trump.united states;3;6;0.03789473684210526;2016;12;1;0;0;0;0;0;4;2
227;conor mcgregor.none.none;3;6;0.03789473684210526;2016;12;1;0;0;0;0;6;0;0
228;nico rosberg.none.none;3;6;0.03789473684210526;2016;12;1;0;0;2;4;0;0;0
229;"none
villain: none
victim: none.none.none";3;6;0.03789473684210526;2016;12;1;0;0;2;0;4;0;0
230;none.none.none;47;142;34.94240837696335;2016;12;15;22;0;48;0;2;44;26
231;none.donald trump.none;6;18;0.5654450261780104;2016;12;15;2;0;0;0;0;2;14
232;barack obama.none.none;5;10;0.2617801047120419;2016;12;15;6;0;0;0;0;2;2
233;none.donald trump.americans;3;10;0.15706806282722513;2016;12;15;0;0;0;0;0;0;10
234;none.russia.united states;2;6;0.06282722513089006;2016;12;15;4;0;0;0;0;0;2
235;none.donald trump.hillary clinton;2;6;0.06282722513089006;2016;12;15;0;0;0;0;0;0;6
236;none.adam saleh.none;2;4;0.041884816753926704;2016;12;15;2;0;0;0;0;0;2
237;none.barack obama.donald trump;2;4;0.041884816753926704;2016;12;15;2;0;0;0;0;0;2
238;none.donald trump.united states;2;4;0.041884816753926704;2016;12;15;0;0;2;0;0;0;2
239;sean spicer.none.none;2;4;0.041884816753926704;2016;12;15;2;0;0;0;0;0;2
240;none.none.none;171;756;270.4518828451883;2017;1;1;20;162;116;116;196;128;18
241;none.donald trump.none;10;26;0.5439330543933054;2017;1;1;2;0;0;2;0;6;16
242;narendra modi.none.none;9;22;0.41422594142259417;2017;1;1;0;2;10;8;2;0;0
243;barack obama.none.none;4;10;0.08368200836820083;2017;1;1;0;0;2;2;0;0;6
244;olivier giroud.none.none;4;8;0.06694560669456066;2017;1;1;0;2;2;2;2;0;0
245;urban meyer.clemson.ohio state;3;6;0.03765690376569038;2017;1;1;0;0;0;0;6;0;0
246;cristiano ronaldo.none.none;3;6;0.03765690376569038;2017;1;1;0;0;2;0;2;2;0
247;james harden.none.none;3;6;0.03765690376569038;2017;1;1;0;0;2;0;4;0;0
248;none.none.mariah carey;3;6;0.03765690376569038;2017;1;1;0;2;0;0;4;0;0
249;none.donald trump.democratic party;2;4;0.016736401673640166;2017;1;1;0;0;2;0;0;0;2
250;none.none.none;23;86;25.688311688311686;2017;1;15;60;2;0;0;0;0;24
251;none.donald trump.none;8;16;1.6623376623376624;2017;1;15;6;0;0;0;0;0;10
252;donald trump.none.none;3;8;0.3116883116883117;2017;1;15;6;0;0;0;0;0;2
253;barack obama.none.none;3;6;0.23376623376623376;2017;1;15;0;0;0;0;0;0;6
254;jeff bezos.none.the washington post company;1;4;0.05194805194805195;2017;1;15;0;0;0;0;0;0;4
255;none.judicial crisis network (jcn).civil rights;1;2;0.025974025974025976;2017;1;15;0;0;0;0;0;0;2
256;none.juncker, jean-claude.european union;1;2;0.025974025974025976;2017;1;15;0;0;0;0;0;0;2
257;none.katie rich.barron trump};1;2;0.025974025974025976;2017;1;15;0;0;0;0;0;0;2
258;none.kellyanne conway.a man;1;2;0.025974025974025976;2017;1;15;0;0;0;0;0;0;2
259; none.steve bannon.united states government agencies and citizens;1;2;0.025974025974025976;2017;1;15;0;0;0;0;0;0;2
260;none.none.none;145;640;201.30151843817788;2017;2;1;42;102;140;142;110;62;42
261;arun jaitley.none.none;10;66;1.4316702819956615;2017;2;1;0;24;22;0;20;0;0
262;none.donald trump.none;9;30;0.5856832971800434;2017;2;1;2;2;2;0;2;2;20
263;beyonce.none.none;4;10;0.08676789587852494;2017;2;1;2;2;4;2;0;0;0
264;tom brady.none.none;4;8;0.06941431670281996;2017;2;1;0;2;2;2;2;0;0
265;lady gaga.none.none;4;8;0.06941431670281996;2017;2;1;2;0;0;4;0;0;2
266;none.donald trump.americans;3;8;0.052060737527114966;2017;2;1;0;0;0;0;0;0;8
267;blondie.none.none;3;6;0.039045553145336226;2017;2;1;0;2;0;0;0;4;0
268;none.mitch mcconnell.democratic party;3;6;0.039045553145336226;2017;2;1;0;0;0;0;2;2;2
269;greg bennett.none.none;3;6;0.039045553145336226;2017;2;1;0;0;0;0;6;0;0
270;none.none.none;32;92;27.009174311926607;2017;2;15;40;0;10;6;0;12;24
271;none.donald trump.none;5;14;0.6422018348623854;2017;2;15;2;0;2;0;0;0;10
272;donald trump.none.none;2;4;0.07339449541284404;2017;2;15;4;0;0;0;0;0;0
273;none.donald trump.americans;2;4;0.07339449541284404;2017;2;15;0;0;0;0;0;2;2
274;robert harward.none.none;2;4;0.07339449541284404;2017;2;15;2;0;0;0;0;0;2
275;jeff t..none.none;1;4;0.03669724770642202;2017;2;15;0;0;0;0;0;0;4
276;none.robert vogee.pamela sue johnson};1;2;0.01834862385321101;2017;2;15;2;0;0;0;0;0;0
277;none.none.chuck dickens jr.};1;2;0.01834862385321101;2017;2;15;2;0;0;0;0;0;0
278;none.none.barack obama;1;2;0.01834862385321101;2017;2;15;2;0;0;0;0;0;0
279;none.none.avalon zoppo;1;2;0.01834862385321101;2017;2;15;2;0;0;0;0;0;0
280;none.none.none;172;812;315.2686230248307;2017;3;1;64;182;136;182;114;108;26
281;none.donald trump.none;9;22;0.4469525959367946;2017;3;1;0;4;4;2;0;0;12
282;barack obama.none.none;7;14;0.22121896162528218;2017;3;1;0;2;6;0;2;4;0
283;"none
villain: none
victim: none.none.none";4;10;0.09029345372460496;2017;3;1;0;0;2;4;2;2;0
284;donald trump.none.none;4;8;0.07223476297968397;2017;3;1;2;0;0;4;2;0;0
285;none.donald trump.barack obama;3;8;0.05417607223476298;2017;3;1;0;0;0;0;0;2;6
286;dan vickerman.none.none;3;6;0.040632054176072234;2017;3;1;0;0;2;0;4;0;0
287;wade noonan.engie.hazelwood workers;3;6;0.040632054176072234;2017;3;1;0;0;0;0;6;0;0
288;lady gaga.none.beyoncé;3;6;0.040632054176072234;2017;3;1;0;0;0;0;4;2;0
289;none.donald trump.immigrants and refugees;3;6;0.040632054176072234;2017;3;1;2;2;0;2;0;0;0
290;none.none.none;22;88;25.142857142857142;2017;3;15;52;0;2;2;6;0;26
291;none.donald trump.none;6;12;0.935064935064935;2017;3;15;2;0;0;0;2;0;8
292;none.devin nunes.none;3;6;0.23376623376623376;2017;3;15;0;0;0;0;0;0;6
293;chuck grassley.none.none;2;4;0.1038961038961039;2017;3;15;2;0;0;0;0;0;2
294;elizabeth warren.donald trump.none;2;4;0.1038961038961039;2017;3;15;0;0;0;0;2;0;2
295;none.donald trump.americans;2;4;0.1038961038961039;2017;3;15;2;0;0;0;0;0;2
296;jeff bezos.none.the washington post company;1;4;0.05194805194805195;2017;3;15;0;0;0;0;0;0;4
